acc_no,acc_name,office_id,type_id,is_budget,active,currency_id
322000,Deposit Ke Hotel - Hotel Dom,All,DO,false,true,
322500,Deposit Ke Hotel - Hotel Intrue,All,DO,false,true,
323000,Deposit Ke Travel Agent - Tour Dom,All,DO,false,true,
323500,Deposit Ke Travel Agent - Tour Intrue,All,DO,false,true,
324000,Deposit Ke Supplier - Passportrue,All,DO,false,true,
324001,Deposit Ke Supplier - Visa,All,DO,false,true,
325000,Deposit Ke Supplier - Lain Lain,All,DO,false,true,
326000,U.M Pembayaran Pax Haji Tahun Berjalan,All,DO,false,true,USD
326001,U.M. Perlengkapan Umroh,All,DO,true,true,IDR
326002,U.M. Biaya Umroh Plus,All,TL,false,true,USD
326003,U.M. Biaya Kantor,All,TL,false,true,IDR
326004,U.M. Biaya Operasional Umroh,All,TL,true,true,USD
326005,U.M. Tiket Umroh,All,TL,true,true,USD
326006,U.M. Biaya Operasional Haji Plus,All,TL,true,true,USD
326007,U.M. Perlengkapan Haji Plus,All,TL,false,true,IDR
326008,U.M. Tiket Haji Plus,All,TL,false,true,IDR
330000,Biaya Dibayar Dimuka - Sewa Kantor,All,TL,false,true,
340000,Prive,All,TL,false,true,
390000,Ayat Silang,All,TL,false,true,
390001,Saldo Transisi,All,TL,false,true,IDR
401000,Hutang Ticket Domestic,All,HD,false,true,
401001,Hutang Pihak ke-tiga,All,HD,false,true,IDR
401500,Hutang Ticket International,All,HD,false,true,
402000,Hutang Hotel Domestic,All,HD,false,true,
402500,Hutang Hotel International,All,HD,false,true,
403000,Hutang Tour Series Domestic,All,HD,false,true,
403010,Hutang Tour Package Domestic,All,HD,false,true,
403020,Hutang Tour Only Domestic,All,HD,false,true,
403030,Hutang Tour Incentive Domestic,All,HD,false,true,
403100,Hutang Tour Inbound,All,HD,false,true,
403500,Hutang Tour Series International,All,HD,false,true,
403510,Hutang Tour Package International,All,HD,false,true,
403520,Hutang Tour Only International,All,HD,false,true,
403530,Hutang Tour Incentive International,All,HD,false,true,
403700,Hutang Business Package Domestic,All,HD,false,true,
403800,Hutang Business Package International,All,HD,false,true,
404000,Hutang Travel Passportrue,All,HD,false,true,
404001,Hutang Travel Visa,All,HD,false,true,
404005,Hutang Travel Insurance,All,HD,false,true,
404100,Hutang Umroh,All,HD,false,true,
404200,Hutang Haji,All,HD,false,true,
404500,Hutang Car Rental,All,HD,false,true,
404501,Hutang Bus Rental,All,HD,false,true,
404550,Hutang Transfer In Airport Hotel,All,HD,false,true,
404560,Hutang Transfer Out Hotel Airportrue,All,HD,false,true,
404600,Hutang Train Ticket Domestic,All,HD,false,true,
404650,Hutang Train Ticket International,All,HD,false,true,
404701,Hutang Administration Fee,All,HD,false,true,
404702,Hutang Cruise Domestic,All,HD,false,true,
404703,Hutang Cruise International,All,HD,false,true,
404704,Hutang MICE Domestic,All,HD,false,true,
404705,Hutang MICE International,All,HD,false,true,
405000,Kewajiban Yang Harus Segera Dibayar Rp,All,PL,false,true,IDR
405001,Kewajiban Yang Harus Segera Dibayar USD,All,PL,false,true,USD
405002,Penjualan Umroh Diterima Dimuka,All,HD,true,true,IDR
405003,Titipan Layanan Haji Tahun Berjalan,All,PL,false,true,USD
409000,Hutang Miscellaneous Productrue,All,HD,false,true,
410010,Hutang Dagang Transisi,All,PL,false,true,
410011,Penjualan Haji Diterima Dimuka,All,HD,true,true,IDR
410020,Hutang Refund Transisi,All,PL,false,true,
421000,Deposit Dari Pelanggan - Ticket Dom,All,DI,false,true,
421500,Deposit Dari Pelanggan - Ticket Intrue,All,DI,false,true,
422000,Deposit Dari Pelanggan - Hotel Dom,All,DI,false,true,
422500,Deposit Dari Pelanggan - Hotel Intrue,All,DI,false,true,
423000,Deposit Dari Pelanggan - Tour Dom,All,DI,false,true,
423500,Deposit Dari Pelanggan - Tour Intrue,All,DI,false,true,
424000,Deposit Dari Pelanggan - Passportrue,All,DI,false,true,
424001,Deposit Dari Pelanggan - Visa,All,DI,false,true,
425000,Deposit Dari Pelanggan - Lain Lain,All,DI,false,true,
430000,Hutang Kepada Direksi,All,TL,false,true,
430100,Hutang Kepada Pihak Ketiga,All,TL,false,true,
440000,Hutang Incentive - JT Lion,All,PL,false,true,IDR
440001,Hutang Incentive - Y6 Batavia,All,PL,false,true,IDR
440002,Hutang Incentive - SJ Sriwijaya,All,PL,false,true,IDR
491000,Hutang PPN,All,HD,false,true,
501000,Penjualan Ticket Domestic,All,SL,false,true,IDR
501001,Penjualan Tiket Domestic,All,SL,false,true,IDR
501500,Penjualan Ticket International,All,SL,false,true,
502000,Penjualan Hotel Domestic,All,SL,false,true,
502500,Penjualan Hotel International,All,SL,false,true,
502501,Penjualan Tiket International,All,SL,false,true,IDR
503000,Penjualan Tour Series Domestic,All,SL,false,true,
503010,Penjualan Tour Package Domestic,All,SL,false,true,
503020,Penjualan Tour Only Domestic,All,SL,false,true,
503030,Penjualan Tour Incentive Domestic,All,SL,false,true,
503100,Penjualan Tour Inbound,All,SL,false,true,
503500,Penjualan Tour Series International,All,SL,false,true,
503510,Penjualan Tour Package International,All,SL,false,true,
503520,Penjualan Tour Only International,All,SL,false,true,
503530,Penjualan Tour Incentive International,All,SL,false,true,
503700,Penjualan Business Package Domestic,All,SL,false,true,
503800,Penjualan Business Package International,All,SL,false,true,
504000,Penjualan Travel Passportrue,All,SL,false,true,
504001,Penjualan Travel Visa,All,SL,false,true,
504005,Penjualan Travel Insurance,All,SL,false,true,
504006,Penjualan Dokumen,All,SL,true,true,IDR
504100,Penjualan Umroh,All,SL,false,true,
504200,Penjualan Haji,All,SL,false,true,
504500,Penjualan Car Rental,All,SL,false,true,
504501,Penjualan Bus Rental,All,SL,false,true,
504502,Penjualan Aktiva Tetap,All,SL,false,true,IDR
504550,Penjualan Transfer In Airport Hotel,All,SL,false,true,
504560,Penjualan Transfer Out Hotel Airportrue,All,SL,false,true,
504600,Penjualan Train Ticket Domestic,All,SL,false,true,
504650,Penjualan Train Ticket International,All,SL,false,true,
504701,Penjualan Administration Fee,All,SL,false,true,
504702,Penjualan Cruise Domestic,All,SL,false,true,
504703,Penjualan Cruise International,All,SL,false,true,
504704,Penjualan MICE Domestic,All,SL,false,true,
504705,Penjualan MICE International,All,SL,false,true,
509000,Penjualan Miscellaneous Productrue,All,SL,false,true,
601000,HPP Ticket Domestic,All,CS,false,true,
601500,HPP Ticket International,All,CS,false,true,
602000,HPP Hotel Domestic,All,CS,false,true,
602500,HPP Hotel International,All,CS,false,true,
603000,HPP Tour Series Domestic,All,CS,false,true,
603010,HPP Tour Package Domestic,All,CS,false,true,
603020,HPP Tour Only Domestic,All,CS,false,true,
603030,HPP Tour Incentive Domestic,All,CS,false,true,
603100,HPP Tour Inbound,All,CS,false,true,
603500,HPP Tour Series International,All,CS,false,true,
603510,HPP Tour Package International,All,CS,false,true,
603520,HPP Tour Only International,All,CS,false,true,
603530,HPP Tour Incentive International,All,CS,false,true,
603700,HPP Business Package Domestic,All,CS,false,true,
603800,HPP Business Package International,All,CS,false,true,
604000,HPP Travel Passportrue,All,CS,false,true,
604001,HPP Travel Visa,All,CS,false,true,
604005,HPP Travel Insurance,All,CS,false,true,
604006,HPP Penjualan Dokumen,All,CS,true,true,IDR
604007,HPP Penjualan Transportasi,All,CS,true,true,IDR
604008,HPP Handling Tour dan Tiketrue,All,CS,true,true,IDR
604009,HPP Penjualan Lain-lain,All,CS,true,true,IDR
604100,HPP Umroh,All,CS,false,true,
604200,HPP Haji,All,CS,false,true,
604500,HPP Car Rental,All,CS,false,true,
604501,HPP Bus Rental,All,CS,false,true,
604550,HPP Transfer In Airport Hotel,All,CS,false,true,
604560,HPP Transfer Out Hotel Airportrue,All,CS,false,true,
604600,HPP Train Ticket Domestic,All,CS,false,true,
604650,HPP Train Ticket International,All,CS,false,true,
604701,HPP Administration Fee,All,CS,false,true,
604702,HPP Cruise Domestic,All,CS,false,true,
604703,HPP Cruise International,All,CS,false,true,
604704,HPP MICE Domestic,All,CS,false,true,
604705,HPP MICE International,All,CS,false,true,
609000,HPP Miscellaneous Productrue,All,CS,false,true,
609001,HPP Tiket Umroh,All,CS,true,true,IDR
609002,HPP Hotel dan Catering Umroh,All,CS,true,true,IDR
609003,HPP Operasional Umroh,All,CS,true,true,IDR
609004,HPP Tour Leader (TL) Umroh,All,CS,true,true,IDR
609005,HPP Manasik Umroh,All,CS,true,true,IDR
609006,HPP Handling Umroh,All,CS,true,true,IDR
609007,HPP Handling Umroh,All,CS,false,false,IDR
609008,HPP Pengurusan Visa Umroh,All,CS,true,true,IDR
609009,HPP Perlengkapan Umroh,All,CS,true,true,IDR
609010,HPP Umroh lainnya,All,CS,true,true,IDR
609011,HPP Tiket Haji,All,CS,true,true,IDR
609012,HPP Hotel dan Catering Haji,All,CS,true,true,IDR
609013,HPP Operasional Haji,All,CS,true,true,IDR
609014,HPP Tour Leader (TL) Haji,All,CS,true,true,IDR
609015,HPP Manasik Haji,All,CS,true,true,IDR
609016,HPP Handling Haji,All,CS,true,true,IDR
609017,HPP Perlengkapan Haji,All,CS,true,true,IDR
609018,HPP Haji lainnya,All,CS,true,true,IDR
609019,Discount Penjualan Umroh,All,CS,true,true,IDR
609020,Discount Penjualan Haji,All,CS,true,true,IDR
700000,B. Gaji,All,BY,true,true,IDR
700001,B. Lembur,All,BY,true,true,IDR
700002,Biaya THR,All,BY,true,true,IDR
700003,Biaya Bonus,All,BY,true,true,IDR
700004,Biaya Asuransi Tenaga Kerja,All,BY,true,true,IDR
700005,Biaya Tunjangan Kesehatan,All,BY,true,true,IDR
700006,Biaya Jaminan Hari Tua (JHT),All,BY,true,true,IDR
700007,B. Pendidikan & Training,All,BY,true,true,IDR
700008,B. Perjalanan Dinas,All,BY,true,true,IDR
700009,Biaya Transportrue,All,BY,true,true,IDR
700010,Biaya SDM Lainnya,All,BY,false,true,
700011,Biaya Penggantian Kaca Mata Pegawai,All,BY,true,true,IDR
700012,Biaya Rekreasi dan Olah Raga,All,BY,false,true,IDR
700013,Biaya Penghargaan Direksi dan Pegawai,All,BY,true,true,IDR
700020,Biaya Komisi Penjualan,All,BY,false,true,IDR
700021,Biaya Perawatan Pelanggan,All,BY,true,true,IDR
700022,Biaya Promosi dan Iklan,All,BY,true,true,IDR
700023,Biaya Pameran,All,BY,true,true,IDR
700024,Biaya Pustaka Informasi,All,BY,true,true,IDR
700025,Biaya Pemasaran lainnya,All,BY,true,true,IDR
